Osio Sotto,Gruppo Humantech - Ortopedia Burini - Osio Sotto
Paderno Dugnano,C.M.T. S.n.c. - Crea Ascensori
Paderno Dugnano,Freddo Ascensori  Figli S.N.C. Di Freddo Luca E Davide
Padova,Kone S.p.A. - Pero
Padova,Neulift Service Triveneto Srl
Padova,Sicover s.r.l.
Padova,S.I.Co.Ver. Nord Est S.r.l.
Padova,Elettromedical - Vendita e assistenza diretta Strumenti Elettromedicali
Padova,Sanitaria Lab-Or San Snc Di Luisetto Cinzia  Rusin Sonia
Padova,Health Orthopedics Gomiero - Shop Padova
Padova,Salandin Enrico S.R.L.
Parma,Cardella Giuseppe
Parma,Cavalli William  C. Snc Ascensori e Servoscale
Parma,Demmi Ascensori
Parma,Emilia Lift Manutenzione e Riparazione Ascensori
Parma,Farma S.r.l
Parma,Ital Lift Solutions
Parma,Koppel A.W. Srl
Parma,Ortopedia Scita
Parma,Otis Servizi Srl
Parma,Parma Ascensori Srl
Parma,Orthopaedic Devices Centre ñ Parma
Parma,Moni Sanitaria
Parma,Terzi Renato Srl
Parma,Tm Ascensori
Pavia,Barbieri Ascensori Montacarichi
Pavia,Mar.Lift Ascensori
Pedrengo,Media Reha Gruppo - Ortesia - Pronto Reha - Pedrengo (BG)
Pero,Db Lift Draka Elevator Srl A Socio Unico
Pero,Kone S.p.A. - Pero
Pero,Neulift S.p.A. 
Peschiera Borromeo,Fem Elevatori
Peschiera Borromeo,Ortopedicasalus
Peschiera Borromeo,TK Elevator sede di Milano
Ponte San Pietro,Ortopedia San Pietro
Ranica,Cavallari Ascensori Srl
Ranica,Cavallari Ascensori S.r.l.
Ranica,Mac Servizi Ascensori Srl
Rescaldina,L.A.M. Lombarda Ascensori Montacarichi
Rho,F.A. Lift di Francesco Amariti
Rho,Auri Lift
Rho,Ortopedia Subema
Robbio,Salute+Store di Ljuba
Robbio,Centaurus Rete Italia
Robbio,Linea Ascensori di Crino Giancarlo
Saccolongo,Antoniana Ascensori Srl
San Donato Milanese,Stella Sanitaria di Leone Raffaela e di Palma Antonella S. N. C.
San Pellegrino Terme,Emilio Zanchi Srl - Assistenza Ascensori A San Pellegrino Terme
Sarnico,Assistenza Macchine Utensili Casati
Saronno,Mi.Ma. Srl
Saronno,Balzarotti B.M.A. - Ascensori
Saronno,Ortopedia Licia
Saronno,Ortopedia Saronnese
Scanzorosciate,Bonfanti Elevatori
Segrate,Lift Design S.R.L.
Segrate,Ma.Ri.Mi.7 di Zambianchi Alessio
Segrate,Bar C'era Una Volta
Seregno,Mariani Amleto di Alberto e Massimiliano Mariani S.n.c.
Seregno,Ortopedia A. Pessina
Seregno,Tecnosanitaria
Seriate,3mf Di Bonfanti Marino
Seriate,KONE Filiale di Bergamo
Seriate,Schindler S.P.A.
Sesto San Giovanni,C.A.M. S.R.L
Sesto San Giovanni,Ghelfi Diego Ascensori
Sesto San Giovanni,Giuman Ascensori Elevatori Snc
Sesto San Giovanni,Ma.Ri.Se. Ascensori SrL
Sesto San Giovanni,Centro Ortopedico Sestese di Gioeli
Sesto San Giovanni,Ortopedia Roll-Star Italia srl us
Sesto San Giovanni,Ortopedia Subema S.r.l.
Settimo Milanese,Everest S.r.l.
Settimo Milanese,ORTOMEDICA-Negozio ortopedia
Silea,Otis Servizi S.R.L.
Solbiate Olona,Ortopedia Grassini
Sondrio,Colombera Ascensori
Sondrio,KONE Filiale di Sondrio
Sorisole,Verzeri Renato Ascensori
Susegana,Minetto Montascale
Susegana,L.A.M. Lombarda Ascensori Montacarichi
Torre Boldone,Gobbo Danilo
Torreglia,Shuttle Ascensori
Tradate,Stannah Point Ortopedia Sanitari Colombo
Tradate,Ortopedia Sanity Center Sas
Treviglio,ALBservice
Treviglio,Jolly Service Cooperativa Sociale Onlus
Treviglio,Tre Vi Lift Srl
Treviolo,BLI - Bergamo Lift Impianti
Treviolo,Cuter S.r.l.
Treviolo,loto elevator srl
Citt‡: Treviso,Cima Impianti S.r.l.
Citt‡: Treviso,WM Elevatori S.r.l.
Citt‡: Treviso,Imar Ascensori
Citt‡: Treviso,ORTHOPEDIC BORELLA S.R.L.
